mime_type_id|type|name|extension
551|audio/x-aiff|Audio Interchange File Format|aif
552|audio/x-mpegurl|M3U (Multimedia Playlist)|m3u
553|audio/x-ms-wax|Microsoft Windows Media Audio Redirector|wax
554|audio/x-ms-wma|Microsoft Windows Media Audio|wma
555|audio/x-pn-realaudio|Real Audio Sound|ram
556|audio/x-pn-realaudio-plugin|Real Audio Sound|rmp
557|audio/x-wav|Waveform Audio File Format (WAV)|wav
558|chemical/x-cdx|ChemDraw eXchange file|cdx
559|chemical/x-cif|Crystallographic Interchange Format|cif
560|chemical/x-cmdf|CrystalMaker Data Format|cmdf
561|chemical/x-cml|Chemical Markup Language|cml
562|chemical/x-csml|Chemical Style Markup Language|csml
563|chemical/x-xyz|XYZ File Format|xyz
564|image/bmp|Bitmap Image File|bmp
565|image/cgm|Computer Graphics Metafile|cgm
566|image/g3fax|G3 Fax Image|g3
567|image/gif|Graphics Interchange Format|gif
568|image/ief|Image Exchange Format|ief
569|image/jpeg|JPEG Image|jpg
570|image/ktx|OpenGL Textures (KTX)|ktx
571|image/png|Portable Network Graphics (PNG)|png
572|image/prs.btif|BTIF|btif
573|image/svg+xml|Scalable Vector Graphics (SVG)|svg
574|image/tiff|Tagged Image File Format|tiff
575|image/vnd.adobe.photoshop|Photoshop Document|psd
576|image/vnd.dece.graphic|DECE Graphic|uvi
577|image/vnd.dvb.subtitle|Close Captioning - Subtitle|sub
578|image/vnd.djvu|DjVu|djvu
579|image/vnd.dwg|DWG Drawing|dwg
580|image/vnd.dxf|AutoCAD DXF|dxf
581|image/vnd.fastbidsheet|FastBid Sheet|fbs
582|image/vnd.fpx|FlashPix|fpx
583|image/vnd.fst|FAST Search & Transfer ASA|fst
584|image/vnd.fujixerox.edmics-mmr|EDMICS 2000|mmr
585|image/vnd.fujixerox.edmics-rlc|EDMICS 2000|rlc
586|image/vnd.ms-modi|Microsoft Document Imaging Format|mdi
587|image/vnd.net-fpx|FlashPix|npx
588|image/vnd.wap.wbmp|WAP Bitamp (WBMP)|wbmp
589|image/vnd.xiff|eXtended Image File Format (XIFF)|xif
590|image/webp|WebP Image|webp
591|image/x-cmu-raster|CMU Image|ras
592|image/x-cmx|Corel Metafile Exchange (CMX)|cmx
593|image/x-freehand|FreeHand MX|fh
594|image/x-icon|Icon Image|ico
595|image/x-pcx|PCX Image|pcx
596|image/x-pict|PICT Image|pic
597|image/x-portable-anymap|Portable Anymap Image|pnm
598|image/x-portable-bitmap|Portable Bitmap Format|pbm
599|image/x-portable-graymap|Portable Graymap Format|pgm
600|image/x-portable-pixmap|Portable Pixmap Format|ppm
601|image/x-rgb|Silicon Graphics RGB Bitmap|rgb
602|image/x-xbitmap|X BitMap|xbm
603|image/x-xpixmap|X PixMap|xpm
604|image/x-xwindowdump|X Window Dump|xwd
605|message/rfc822|Email Message|eml
606|model/iges|Initial Graphics Exchange Specification (IGES)|igs
607|model/mesh|Mesh Data Type|msh
608|model/vnd.collada+xml|COLLADA|dae
609|model/vnd.dwf|Autodesk Design Web Format (DWF)|dwf
610|model/vnd.gdl|Geometric Description Language (GDL)|gdl
611|model/vnd.gtw|Gen-Trix Studio|gtw
612|model/vnd.mts|Virtue MTS|mts
613|model/vnd.vtu|Virtue VTU|vtu
614|model/vrml|Virtual Reality Modeling Language|wrl
615|text/calendar|iCalendar|ics
616|text/css|Cascading Style Sheets (CSS)|css
617|text/csv|Comma-Seperated Values|csv
618|text/html|HyperText Markup Language (HTML)|html
619|text/n3|Notation3|n3
620|text/plain|Text File|txt
621|text/prs.lines.tag|PRS Lines Tag|dsc
622|text/richtext|Rich Text Format (RTF)|rtx
623|text/sgml|Standard Generalized Markup Language (SGML)|sgml
624|text/tab-separated-values|Tab Seperated Values|tsv
625|text/troff|troff|t
626|text/turtle|Turtle (Terse RDF Triple Language)|ttl
627|text/uri-list|URI Resolution Services|uri
628|text/vnd.curl|Curl - Applet|curl
629|text/vnd.curl.dcurl|Curl - Detached Applet|dcurl
630|text/vnd.curl.scurl|Curl - Source Code|scurl
631|text/vnd.curl.mcurl|Curl - Manifest File|mcurl
632|text/vnd.fly|mod_fly / fly.cgi|fly
633|text/vnd.fmi.flexstor|FLEXSTOR|flx
634|text/vnd.graphviz|Graphviz|gv
635|text/vnd.in3d.3dml|In3D - 3DML|3dml
636|text/vnd.in3d.spot|In3D - 3DML|spot
637|text/vnd.sun.j2me.app-descriptor|J2ME App Descriptor|jad
638|text/vnd.wap.wml|Wireless Markup Language (WML)|wml
639|text/vnd.wap.wmlscript|Wireless Markup Language Script (WMLScript)|wmls
640|text/x-asm|Assembler Source File|s
641|text/x-c|C Source File|c
642|text/x-fortran|Fortran Source File|f
643|text/x-pascal|Pascal Source File|p
644|text/x-java-source,java|Java Source File|java
645|text/x-setext|Setext|etx
646|text/x-uuencode|UUEncode|uu
647|text/x-vcalendar|vCalendar|vcs
648|text/x-vcard|vCard|vcf
649|video/3gpp|3GP|3gp
650|video/3gpp2|3GP2|3g2
651|video/h261|H.261|h261
652|video/h263|H.263|h263
653|video/h264|H.264|h264
654|video/jpeg|JPGVideo|jpgv
655|video/jpm|JPEG 2000 Compound Image File Format|jpm
656|video/mj2|Motion JPEG 2000|mj2
657|video/mp4|MPEG-4 Video|mp4
658|video/mpeg|MPEG Video|mpeg
659|video/ogg|Ogg Video|ogv
660|video/quicktime|Quicktime Video|qt
661|video/vnd.dece.hd|DECE High Definition Video|uvh
662|video/vnd.dece.mobile|DECE Mobile Video|uvm
663|video/vnd.dece.pd|DECE PD Video|uvp
664|video/vnd.dece.sd|DECE SD Video|uvs
665|video/vnd.dece.video|DECE Video|uvv
666|video/vnd.fvt|FAST Search & Transfer ASA|fvt
667|video/vnd.mpegurl|MPEG Url|mxu
668|video/vnd.ms-playready.media.pyv|Microsoft PlayReady Ecosystem Video|pyv
669|video/vnd.uvvu.mp4|DECE MP4|uvu
670|video/vnd.vivo|Vivo|viv
671|video/webm|Open Web Media Project - Video|webm
672|video/x-f4v|Flash Video|f4v
673|video/x-fli|FLI/FLC Animation Format|fli
674|video/x-flv|Flash Video|flv
675|video/x-m4v|M4v|m4v
676|video/x-ms-asf|Microsoft Advanced Systems Format (ASF)|asf
677|video/x-ms-wm|Microsoft Windows Media|wm
678|video/x-ms-wmv|Microsoft Windows Media Video|wmv
679|video/x-ms-wmx|Microsoft Windows Media Audio/Video Playlist|wmx
680|video/x-ms-wvx|Microsoft Windows Media Video Playlist|wvx
681|video/x-msvideo|Audio Video Interleave (AVI)|avi
682|video/x-sgi-movie|SGI Movie|movie
683|x-conference/x-cooltalk|CoolTalk|ice
684|text/plain-bas|BAS Partitur Format|par
685|text/yaml|YAML Ain't Markup Language / Yet Another Markup Language|yaml
